"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
139,16,15,11,25,14,14,30,50,95,0.33,0.29,0.38,50,0.29,0.835,33640,10,1,0,6,3,2,7,2,2,7,2,60.5,-10.5,10.5
50,18,20,24,4,8,9,15,70,80,0.45,0.29,0.26,80,0.26,0.101,22232,9,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
131,13,14,21,18,8,32,45,60,90,0.52,0.29,0.19,60,0.29,0.831,31261,5,0,0,7,1,2,4,2,1,7,3,57.9,2.1,2.1
6,16,10,20,16,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.443,15045,3,0,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
18,12,18,23,14,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.157,17435,3,1,0,9,1,1,8,1,1,7,1,60.9,29.1,29.1
145,13,12,16,21,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.49,16986,3,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
57,13,13,20,14,0,47,55,70,85,0.28,0.51,0.21,70,0.51,0.309,21541,5,0,0,9,1,1,3,1,1,6,2,68.95,1.05,1.05
36,16,15,23,15,8,12,20,45,70,0.4,0.34,0.26,70,0.26,0.521,15906,3,0,0,9,1,1,6,1,1,7,1,41.5,28.5,28.5
116,10,9,21,19,8,12,20,45,70,0.4,0.34,0.26,70,0.26,0.812,13705,9,1,0,9,2,1,6,1,1,1,1,41.5,28.5,28.5
38,17,16,28,16,3,47,55,70,85,0.28,0.51,0.21,70,0.51,0.237,15921,3,0,1,6,2,1,2,1,1,8,4,68.95,1.05,1.05
13,13,14,20,17,7,14,30,50,95,0.33,0.29,0.38,50,0.29,0.148,20717,6,1,0,6,2,2,7,2,1,4,4,60.5,-10.5,10.5
102,13,15,19,16,1,1,0,30,60,0.38,0.36,0.26,0,0.38,0.439,16753,3,0,0,3,1,1,1,1,1,1,1,26.4,-26.4,26.4
20,13,17,27,15,7,12,20,45,70,0.4,0.34,0.26,70,0.26,0.668,21789,7,1,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
122,18,18,18,22,13,32,45,60,90,0.52,0.29,0.19,60,0.29,0.454,17155,4,1,0,7,1,1,6,1,1,8,1,57.9,2.1,2.1
39,16,15,21,16,6,12,20,45,70,0.4,0.34,0.26,70,0.26,0.14,38936,3,1,0,8,2,2,5,1,1,8,3,41.5,28.5,28.5
125,13,16,14,23,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.501,19598,5,0,0,7,2,3,4,3,3,7,5,68.95,1.05,1.05
84,12,15,16,11,6,1,0,30,60,0.38,0.36,0.26,0,0.38,0.111,19553,1,0,0,9,2,2,2,1,1,9,1,26.4,-26.4,26.4
