"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
40,28,40,65,100,0.36,0.4,0.24,40,0.36,0.962,6,2,2,6,1,1,5,4
32,24,20,60,90,0.33,0.2,0.47,90,0.47,0.468,9,1,1,9,1,1,1,1
74,18,25,60,100,0.43,0.35,0.22,100,0.22,0.633,9,1,1,9,1,1,9,1
26,27,15,50,75,0.25,0.38,0.37,75,0.37,0.444,8,1,1,3,1,1,8,1
37,5,10,35,75,0.515,0.3,0.185,35,0.3,0.388,5,3,1,4,2,1,5,4
25,36,30,50,90,0.39,0.25,0.36,90,0.36,0.262,9,1,1,3,1,1,9,1
88,38,20,50,90,0.3,0.18,0.52,50,0.18,0.883,9,1,2,9,1,1,9,1
67,22,20,60,90,0.32,0.16,0.52,20,0.32,0.168,2,4,8,6,3,1,1,8
65,31,45,60,90,0.54,0.3,0.16,45,0.54,0.673,3,6,5,4,3,2,4,8
44,32,45,60,90,0.52,0.29,0.19,60,0.29,0.117,6,2,2,2,1,1,6,5
99,5,10,35,75,0.515,0.3,0.185,35,0.3,0.968,7,2,1,4,1,1,8,3
58,20,25,45,80,0.26,0.32,0.42,45,0.32,0.94,7,2,2,2,2,1,3,7
63,40,0,40,95,0.27,0.38,0.35,0,0.27,0.251,1,6,9,6,3,1,1,9
21,37,20,50,90,0.28,0.19,0.53,20,0.28,0.336,4,5,7,7,7,3,3,8
95,10,20,45,70,0.43,0.39,0.18,20,0.43,0.078,6,3,2,1,1,1,4,6
71,2,0,30,60,0.42,0.31,0.27,30,0.31,0.497,7,2,2,6,1,1,7,4
13,45,10,50,75,0.6,0.24,0.16,75,0.16,0.615,9,1,1,8,1,1,9,1
9,31,45,60,90,0.54,0.3,0.16,45,0.54,0.808,6,3,1,3,1,1,4,1
31,11,20,45,70,0.41,0.35,0.24,45,0.35,0.884,7,2,2,4,1,1,6,2
49,1,0,30,60,0.38,0.36,0.26,0,0.38,0.863,3,3,4,5,2,1,1,8
94,27,15,50,75,0.25,0.38,0.37,75,0.37,0.807,9,2,2,7,4,8,4,6
97,23,20,60,90,0.34,0.22,0.44,60,0.22,0.319,5,2,2,4,1,1,4,3
33,33,45,60,90,0.5,0.3,0.2,90,0.2,0.833,9,1,1,9,1,1,1,1
36,27,15,50,75,0.25,0.38,0.37,75,0.37,0.444,9,1,1,6,1,1,8,1
46,21,25,45,80,0.3,0.3,0.4,80,0.4,0.249,8,1,1,8,1,1,1,1
90,44,10,50,75,0.58,0.24,0.18,50,0.24,0.925,6,2,2,5,2,2,6,5
93,22,20,60,90,0.32,0.16,0.52,20,0.32,0.932,5,2,1,5,1,1,4,5
41,46,55,70,85,0.26,0.53,0.21,55,0.26,0.815,7,1,1,5,1,1,6,1
16,17,25,60,100,0.42,0.38,0.2,60,0.38,0.558,6,2,1,3,1,1,6,6
84,29,40,65,100,0.38,0.34,0.28,65,0.34,0.789,6,1,1,3,1,1,6,1
76,23,20,60,90,0.34,0.22,0.44,60,0.22,0.439,6,1,1,5,1,1,6,5
17,1,0,30,60,0.38,0.36,0.26,0,0.38,0.468,1,7,3,6,4,1,1,9
