"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
151,13,9,16,17,1,9,15,70,80,0.45,0.29,0.26,80,0.26,0.388,12233,29,-3,4,0,1,1,1,8,1,6,1,1,8,47.85,32.15,32.15
213,12,12,18,17,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.01,17797,35,3,4,0,1,9,2,2,8,1,1,1,1,26.4,-26.4,26.4
51,15,17,26,7,6,16,25,60,100,0.45,0.37,0.18,25,0.45,0.428,24761,29,-3,4,0,0,1,7,9,5,9,8,1,8,51.45,-26.45,26.45
57,17,20,27,23,6,32,45,60,90,0.52,0.29,0.19,60,0.29,0.696,14200,7,3,0,0,1,6,1,1,4,1,1,8,2,57.9,2.1,2.1
407,12,7,22,12,3,41,0,40,95,0.27,0.4,0.33,40,0.4,0.286,21792,29,-3,4,0,1,1,8,6,6,6,1,1,8,47.35,-7.35,7.35
241,15,17,28,19,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.446,35499,29,-3,4,0,0,3,2,6,6,6,1,2,6,47.35,-7.35,7.35
211,14,18,21,9,12,24,20,60,90,0.33,0.2,0.47,90,0.47,0.242,16386,4,0,0,1,0,9,1,1,6,1,1,9,1,60.9,29.1,29.1
194,18,17,23,20,12,1,0,30,60,0.38,0.36,0.26,0,0.38,0.671,27421,1,-3,0,1,0,1,7,2,4,2,1,1,9,26.4,-26.4,26.4
220,13,14,17,19,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.32,19972,4,0,0,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
14,17,11,18,17,0,16,25,60,100,0.45,0.37,0.18,25,0.45,0.816,18423,29,-3,4,0,0,2,6,6,5,6,1,2,2,51.45,-26.45,26.45
268,15,16,21,18,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.531,34715,36,4,4,0,0,8,1,1,4,1,1,4,1,47.85,32.15,32.15
203,13,16,21,19,7,1,0,30,60,0.38,0.36,0.26,0,0.38,0.398,17743,27,2,3,1,0,2,5,3,6,1,1,5,8,26.4,-26.4,26.4
139,19,18,28,9,5,32,45,60,90,0.52,0.29,0.19,60,0.29,0.676,13551,39,4,7,0,1,4,3,2,3,3,3,5,3,57.9,2.1,2.1
463,11,8,12,23,15,16,25,60,100,0.45,0.37,0.18,25,0.45,0.289,24859,17,-1,2,1,0,4,2,3,1,5,1,2,9,51.45,-26.45,26.45
96,10,14,20,14,5,16,25,60,100,0.45,0.37,0.18,25,0.45,0.348,20881,38,4,6,0,0,6,2,4,6,2,2,5,5,51.45,-26.45,26.45
404,20,20,24,13,10,24,20,60,90,0.33,0.2,0.47,90,0.47,0.379,25302,40,4,8,1,0,9,1,1,7,2,1,8,2,60.9,29.1,29.1
369,19,20,28,13,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.114,21215,13,2,1,1,0,8,1,1,9,1,1,8,1,60.9,29.1,29.1
373,11,15,21,15,11,49,50,75,90,0.3,0.52,0.18,50,0.3,0.517,19308,23,-2,3,0,0,4,6,2,6,2,2,4,8,70.2,-20.2,20.2
5,13,17,22,8,6,1,0,30,60,0.38,0.36,0.26,0,0.38,0.452,21635,23,-2,3,0,0,1,7,8,7,8,1,1,9,26.4,-26.4,26.4
